,precision,recall,f1-score,support
Black-headedGull,0.7,0.7291666666666666,0.7142857142857142,48.0
CarrionCrow,0.6304347826086957,0.6744186046511628,0.651685393258427,43.0
CommonStarling,0.5352112676056338,0.7916666666666666,0.6386554621848739,48.0
EurasianBlueTit,0.7894736842105263,0.8823529411764706,0.8333333333333333,34.0
EurasianBullfinch,0.8,0.8301886792452831,0.8148148148148149,53.0
EurasianCollaredDove,0.9454545454545454,0.8813559322033898,0.9122807017543859,59.0
EurasianJay,0.5116279069767442,0.38596491228070173,0.44,57.0
EurasianMagpie,0.7209302325581395,0.6458333333333334,0.6813186813186812,48.0
EuropeanHerringGull,0.9142857142857143,0.8421052631578947,0.8767123287671234,38.0
GreatTit,0.7916666666666666,0.5135135135135135,0.6229508196721311,37.0
HouseSparrow,0.7916666666666666,0.926829268292683,0.8539325842696629,41.0
Mallard,0.6666666666666666,0.7916666666666666,0.7238095238095237,48.0
MuteSwan,0.5882352941176471,0.6521739130434783,0.6185567010309279,46.0
Rook,0.8648648648648649,0.8205128205128205,0.8421052631578947,39.0
ThrushNightingale,0.9473684210526315,0.8780487804878049,0.9113924050632912,41.0
WesternJackdaw,0.8787878787878788,0.6590909090909091,0.7532467532467532,44.0
WhooperSwan,0.9347826086956522,0.9347826086956522,0.9347826086956522,46.0
accuracy,0.7506493506493507,0.7506493506493507,0.7506493506493507,0.7506493506493507
macro avg,0.7653798353658043,0.7552747929226529,0.7543448875684229,770.0
weighted avg,0.7597147845902711,0.7506493506493507,0.7493688651766104,770.0
