,precision,recall,f1-score,support
Black-headedGull,0.8837209302325582,0.7916666666666666,0.8351648351648352,48.0
CarrionCrow,0.7209302325581395,0.7209302325581395,0.7209302325581395,43.0
CommonStarling,0.7804878048780488,0.6666666666666666,0.7191011235955055,48.0
EurasianBlueTit,0.8709677419354839,0.7941176470588235,0.8307692307692308,34.0
EurasianBullfinch,0.7121212121212122,0.8867924528301887,0.7899159663865547,53.0
EurasianCollaredDove,0.9642857142857143,0.9152542372881356,0.9391304347826087,59.0
EurasianJay,0.631578947368421,0.631578947368421,0.631578947368421,57.0
EurasianMagpie,0.8222222222222222,0.7708333333333334,0.7956989247311829,48.0
EuropeanHerringGull,0.7857142857142857,0.868421052631579,0.825,38.0
GreatTit,0.7368421052631579,0.7567567567567568,0.7466666666666667,37.0
HouseSparrow,0.8409090909090909,0.9024390243902439,0.8705882352941177,41.0
Mallard,0.7647058823529411,0.8125,0.787878787878788,48.0
MuteSwan,0.6470588235294118,0.717391304347826,0.6804123711340206,46.0
Rook,0.8108108108108109,0.7692307692307693,0.7894736842105263,39.0
ThrushNightingale,0.9736842105263158,0.9024390243902439,0.9367088607594938,41.0
WesternJackdaw,0.8461538461538461,0.75,0.7951807228915662,44.0
WhooperSwan,0.9166666666666666,0.9565217391304348,0.9361702127659574,46.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8064035604428428,0.8007964620381312,0.8017864257033891,770.0
weighted avg,0.8046820031534371,0.8,0.800458394673108,770.0
